clave,es,traduccion_nueva,estado
import.preview.editable_hint,Puedes corregir cualquier fila con error editándola aquí; se revalida al momento.,You can fix any row with an error by editing it here; it is revalidated instantly.,sin_traducir
import.team.label,Asignar al equipo (opcional),Assign to team (optional),sin_traducir
import.team.placeholder,Sin equipo,No team,sin_traducir
import.team.none,Sin equipo,No team,sin_traducir
import.team.help,Se usa para las filas sin columna «Equipo». La resolución por fila y este selector aplican a la temporada {season}.,"Used for rows without a ""Team"" column. Per-row resolution and this selector apply to the {season} season.",sin_traducir
import.action.back,Volver,Back,sin_traducir
import.action.confirm,Importar {count} jugadores,Import {count} players,sin_traducir
import.col.first_name,Nombre completo,Full name,sin_traducir
import.col.last_name,Apellidos,Last name,sin_traducir
import.col.date_of_birth,Fecha de nacimiento,Date of birth,sin_traducir
import.col.dorsal,Dorsal,Number,sin_traducir
import.col.position_main,Posición,Position,sin_traducir
import.col.status,Estado,Status,sin_traducir
import.col.required_hint,Campo obligatorio,Required field,sin_traducir
import.col.team,Equipo,Team,sin_traducir
import.col.team_none,— (usar equipo del lote),— (use batch team),sin_traducir
import.status.duplicate,Duplicada,Duplicate,sin_traducir
import.status.invalid,Inválida,Invalid,sin_traducir
import.reason.duplicate_in_db,ya existe en el club,already exists in the club,sin_traducir
import.reason.duplicate_in_file,duplicada en el archivo,duplicate in the file,sin_traducir
import.reason.first_name_required,Falta nombre,Missing name,sin_traducir
import.reason.first_name_too_long,Nombre demasiado largo,Name too long,sin_traducir
import.reason.last_name_required,Falta apellidos,Missing last name,sin_traducir
import.reason.last_name_too_long,Apellidos demasiado largos,Last name too long,sin_traducir
import.reason.date_of_birth_required,Falta fecha de nacimiento,Missing date of birth,sin_traducir
import.reason.date_of_birth_invalid,Formato de fecha no reconocido. Usa dd/mm/yyyy (ej. 15/03/2010),Date format not recognized. Use dd/mm/yyyy (e.g. 15/03/2010),sin_traducir
import.reason.dorsal_invalid,Dorsal fuera de rango (1-99),Number out of range (1-99),sin_traducir
import.reason.position_invalid,"Posición no reconocida. Opciones: Portero, Defensa, Lateral, Mediocentro, Delantero, Extremo (y sinónimos)","Position not recognized. Options: Goalkeeper, Defender, Full-back, Midfielder, Forward, Winger (and synonyms)",sin_traducir
import.reason.positions_secondary_too_many,Demasiadas posiciones secundarias,Too many secondary positions,sin_traducir
import.reason.foot_invalid,"Pie no reconocido. Opciones: Derecho, Izquierdo, Ambidiestro","Foot not recognized. Options: Right, Left, Two-footed",sin_traducir
import.reason.height_cm_invalid,Altura fuera de rango (50-250),Height out of range (50-250),sin_traducir
import.reason.weight_kg_invalid,Peso fuera de rango (10-200),Weight out of range (10-200),sin_traducir
import.reason.origin_too_long,Origen demasiado largo,Origin too long,sin_traducir
import.reason.rls,permiso denegado,permission denied,sin_traducir
import.reason.duplicate_constraint,violación de unicidad,uniqueness violation,sin_traducir
import.reason.team_assign_failed,creado pero no asignado al equipo,created but not assigned to the team,sin_traducir
import.reason.generic,fallo del servidor,server error,sin_traducir
import.reason.team_not_found,Equipo no encontrado en la temporada activa. Créalo antes de importar.,Team not found in the active season. Create it before importing.,sin_traducir
import.reason.team_required,Falta el equipo. Indica un equipo en la fila o elige uno en el selector de lote.,Team is missing. Enter a team in the row or choose one in the batch selector.,sin_traducir
import.reason.team_too_long,Nombre de equipo demasiado largo,Team name too long,sin_traducir
import.reason.invite_email_required,Falta el email,Email is missing,sin_traducir
import.reason.invite_email_invalid,Email no válido,Invalid email,sin_traducir
import.error.too_large,Archivo demasiado grande (máx. 5 MB).,File too large (max. 5 MB).,sin_traducir
import.error.unsupported_type,Formato no soportado. Sube .csv o .xlsx.,Unsupported format. Upload .csv or .xlsx.,sin_traducir
import.error.parse_failed,No hemos podido leer el archivo. Comprueba el formato.,We couldn't read the file. Check the format.,sin_traducir
import.error.empty_file,El archivo está vacío.,The file is empty.,sin_traducir
import.error.no_recognized_headers,No reconocemos ninguna columna. Asegúrate de usar la plantilla.,We don't recognize any column. Make sure you use the template.,sin_traducir
import.error.too_many_rows,Máximo {max} jugadores por importación (este archivo trae {count}). Divide el fichero y súbelo en partes.,Maximum {max} players per import (this file has {count}). Split the file and upload it in parts.,sin_traducir
import.result.created,Creados,Created,sin_traducir
import.result.skipped,Duplicados,Duplicates,sin_traducir
import.result.failed,Fallidos,Failed,sin_traducir
import.result.download,Descargar informe CSV,Download CSV report,sin_traducir
import.result.again,Importar otro archivo,Import another file,sin_traducir
import.result.error.forbidden,No tienes permisos para importar.,You don't have permission to import.,sin_traducir
import.result.error.invalid_payload,Datos del cliente inválidos.,Invalid client data.,sin_traducir
import.result.error.no_active_club,Sin club activo.,No active club.,sin_traducir
import.result.error.generic,Error inesperado. Inténtalo de nuevo.,Unexpected error. Please try again.,sin_traducir
calendario.views.agenda,Agenda,Schedule,sin_traducir
plantillas.title,Categorías,Categories,sin_traducir
plantillas.subtitle,Plantillas permanentes del club (sin temporada). La temporada vive en el equipo.,Permanent club categories (no season). The season lives in the team.,sin_traducir
plantillas.back_to_equipos,← Volver a equipos,← Back to teams,sin_traducir
plantillas.empty,Aún no has creado ninguna categoría-plantilla. Empieza por la primera.,You haven't created any category template yet. Start with the first one.,sin_traducir
plantillas.teams_count,"{count, plural, =0 {Sin equipos} one {# equipo} other {# equipos}}","{count, plural, =0 {No teams} one {# team} other {# teams}}",sin_traducir
plantillas.half_short,{min} min/tiempo,{min} min/half,sin_traducir
plantillas.actions.create,Nueva categoría,New category,sin_traducir
plantillas.actions.edit,Editar,Edit,sin_traducir
plantillas.actions.delete,Eliminar,Delete,sin_traducir
plantillas.actions.cancel,Cancelar,Cancel,sin_traducir
plantillas.actions.save,Guardar,Save,sin_traducir
plantillas.dialog.create_title,Crear categoría,Create category,sin_traducir
plantillas.dialog.edit_title,Editar categoría,Edit category,sin_traducir
plantillas.dialog.description,Las categorías son plantillas permanentes del club (sin temporada). Los equipos se crean por temporada en Equipos.,Categories are permanent club templates (no season). Teams are created per season in Teams.,sin_traducir
plantillas.field.name,Nombre,Name,sin_traducir
plantillas.field.kind,Grupo de edad,Age group,sin_traducir
plantillas.field.kind_help,Determina el régimen de cambios y el orden del listado.,Determines the substitution rules and the list order.,sin_traducir
plantillas.field.half_duration,Duración por tiempo (min),Half duration (min),sin_traducir
plantillas.field.half_duration_help,Minutos de cada tiempo de partido (1–90).,Minutes of each match half (1–90).,sin_traducir
plantillas.kind_none,Sin grupo de edad,No age group,sin_traducir
plantillas.delete.title,¿Eliminar la categoría?,Delete the category?,sin_traducir
plantillas.delete.description,Vas a eliminar «{name}». Esta acción no se puede deshacer.,"You are about to delete ""{name}"". This action cannot be undone.",sin_traducir
plantillas.errors.name_required,Pon el nombre de la categoría,Enter the category name,sin_traducir
plantillas.errors.name_too_long,El nombre no puede superar los 80 caracteres,The name cannot exceed 80 characters,sin_traducir
plantillas.errors.kind_invalid,Grupo de edad no válido,Invalid age group,sin_traducir
plantillas.errors.half_duration_invalid,Duración no válida. Usa un valor entre 1 y 90.,Invalid duration. Use a value between 1 and 90.,sin_traducir
plantillas.errors.name_duplicate,Ya existe una categoría con ese nombre en el club.,A category with that name already exists in the club.,sin_traducir
plantillas.errors.has_teams,No se puede eliminar: tiene equipos en alguna temporada.,Cannot delete: it has teams in some season.,sin_traducir
plantillas.errors.no_active_club,No hay club activo.,No active club.,sin_traducir
plantillas.errors.forbidden,No tienes permiso para hacer esto.,You don't have permission to do this.,sin_traducir
plantillas.errors.generic,No hemos podido guardar los cambios. Inténtalo de nuevo.,We couldn't save your changes. Please try again.,sin_traducir
